key,method,family,authors,year,venue,doi,pmid,citations,measured_effects,feasibility_verdict,certificate,infeasibility,heldout_validation,combinatorial,druggability,input_type,output_type,limitation,one_line_delta,cohort
Corridori2026,IGNITE (kinetic Ising GRN inference),GRN + in-silico perturbation,"Clelia Corridori, Merrit Romeike et al.",2026,PLoS computational biology,10.1371/journal.pcbi.1014067,41984780.0,0.0,no,no,no,no,yes,partial,no,unperturbed scRNA-seq data (no priors),prediction (simulated gene expression under KO/perturbation),relies on an inferred (not measured) GRN via Ising inverse problem; purely forward simulation with no reachability/infeasibility proof or minimal-recipe guarantee,"IGNITE forward-simulates expression changes from a statistically inferred GRN for user-chosen knockouts, whereas our oracle uses measured perturbation effects to define a convex cone and returns a provable reachable/infeasible verdict with a minimal knockdown recipe or a Farkas certificate naming genes to activate instead.",2025-2026
Feng2026,CellPolaris,GRN + in-silico perturbation,"Guihai Feng, Xin Qin et al.",2026,Advanced Science,10.1002/advs.202508697,41498638.0,1.0,no,no,no,no,partial,partial,no,unperturbed bulk/single-cell transcriptomic data + pre-built high-confidence GRN priors,GRN / ranking (master TFs) / forward simulation of perturbation effects,"relies on transfer-learned/inferred GRN edges (correlational, not measured knockdown effects), so predictions are unfalsifiable estimates with no proof of infeasibility or minimality","CellPolaris forward-simulates perturbation outcomes on an inferred, correlational GRN with no reachability guarantee, whereas our oracle uses measured CRISPRi effect vectors in a convex cone to return a falsifiable verdict—either a minimal knockdown recipe reaching the target or a Farkas/KKT certificate proving it unreachable and naming genes to activate instead.",2025-2026
He2026,scMagnifier,GRN + in-silico perturbation,"Zhenhui He, Kangning Dong",2026,PLoS Computational Biology,10.1371/journal.pcbi.1014167,42313807.0,0.0,no,no,no,no,partial,partial,no,unperturbed scRNA-seq + inferred cluster-specific GRN priors,consensus clustering + rpcUMAP embedding,"relies on an inferred (not measured) GRN and simulated perturbation propagation, with no reachability proof, no minimal recipe, and no infeasibility certificate - it amplifies signal for clustering, it does not test whether any target expression shift is achievable","scMagnifier forward-simulates in silico TF perturbations on an inferred GRN purely to sharpen cell-subtype clustering, whereas our oracle uses measured CRISPRi effect vectors as convex-cone generators to return a falsifiable reachable/infeasible verdict, a minimal knockdown recipe, or a Farkas certificate naming genes needing activation.",2025-2026
Adduri2025,State (transformer perturbation model),Perturbation-response prediction,"Abhinav Adduri, Dhruv Gautam et al.",2025,bioRxiv (Cold Spring Harbor Laboratory),10.1101/2025.06.26.661135,,63.0,partial,no,no,no,yes,partial,no,"scRNA-seq (unperturbed + Perturb-seq, 100M+ perturbed cells, 167M observational cells)",prediction (predicted expression shift / cell embedding),"correlational transformer prediction with no minimal-recipe or infeasibility proof; forward-only, no guarantee predicted shift is actually achievable","State forward-predicts expression changes for given perturbations via learned embeddings with no guarantees, whereas our oracle uses measured knockdown effects in a convex cone to return a provable reachable/unreachable verdict, minimal knockdown recipe, or Farkas infeasibility certificate naming genes to activate instead.",2025-2026
Chang2025,PertSpectra,Perturbation-response prediction,"Seowon Chang, Anna Shcherbina et al.",2025,Pacific Symposium on Biocomputing,10.1142/9789819824755_0033,41758161.0,0.0,partial,no,no,no,yes,yes,no,single/combinatorial Perturb-seq scRNA-seq + gene-gene interaction graph prior,sparse latent factor embedding + predicted expression for unseen combinations,correlational latent factorization with no reachability proof or minimal recipe; requires prior interaction graph and offers no infeasibility certificate,"PertSpectra forward-predicts perturbation effects via a regularized factorization embedding, whereas our oracle poses reachability as a convex-cone feasibility problem over measured knockdown effects, returning either a minimal recipe or a Farkas infeasibility certificate naming genes to activate instead.",2025-2026
Han2025,PAIRING,Perturbation-response prediction,"Young-Hyun Han, Hyunjin Kim et al.",2025,Cell Systems,10.1016/j.cels.2025.101405,40997798.0,0.0,partial,partial,no,no,partial,partial,no,scRNA-seq transcriptomes (basal + perturbed states) across datasets,ranked/predicted optimal perturbation (latent-space match) + simulated expression shifts,"relies on a learned generative latent embedding (VAE-like decomposition) fit to observed data; perturbation-effect vectors are inferred/embedded rather than directly measured, so there is no convex-cone structure, no guarantee that a returned 'optimal' perturbation is truly achievable, and no way to certify that a target state is infeasible or to name required activations","PAIRING picks the perturbation whose learned latent-space effect vector is closest to the desired transition, giving a best-match suggestion with no guarantee of reachability or achievability, whereas our oracle uses measured knockdown effects to build an explicit convex cone and returns a provable verdict-either a minimal reachable recipe or a Farkas/KKT certificate proving infeasibility and naming genes that must be activated instead.",2025-2026
He2025,Squidiff (diffusion),Perturbation-response prediction,"Siyu He, Yuefei Zhu et al.",2025,Nature Methods,10.1038/s41592-025-02877-y,41184550.0,21.0,partial,no,no,no,yes,partial,no,single-cell states + perturbation/differentiation conditions,diffusion-generated predicted cellular responses/trajectories (forward generation),diffusion generator of responses; no feasibility geometry,Squidiff samples plausible responses; we certify whether the desired response is reachable at all from measured knockdowns.,2025-2026
Klein2025a,CellFlow (flow matching),Perturbation-response prediction,"Dominik Klein, Jonas Simon Fleck et al.",2025,bioRxiv (Cold Spring Harbor Laboratory) [preprint],10.1101/2025.04.11.648220,,34.0,partial,no,no,no,yes,partial,no,single-cell states + perturbation conditions (genetic/chemical/cytokine/morphology),generative prediction of perturbed cell-state distributions via flow matching (forward generation),generates predicted distributions; cannot prove a target state is unreachable or name genes to activate,CellFlow flow-matches predicted post-perturbation distributions; our oracle returns a yes/no reachability verdict with a minimal recipe or infeasibility proof.,2025-2026
Liu2025,SCCVAE,Perturbation-response prediction,"Emily Liu, Jiaqi Zhang et al.",2025,bioRxiv (Cold Spring Harbor Laboratory),10.1101/2025.06.05.657988,40501829.0,1.0,partial,no,no,no,yes,partial,no,Perturb-seq scRNA-seq + learned gene regulatory network,prediction,"relies on an inferred (learned) GRN and correlational VAE latent space rather than measured perturbation effects, is forward-only with no minimal recipe or infeasibility proof","SCCVAE forward-simulates transcriptomic responses from a learned regulatory network and generative latent space, whereas our oracle uses measured CRISPRi effect vectors in a convex cone to return a falsifiable reachable/infeasible verdict with a minimal knockdown recipe or a Farkas certificate naming genes to activate.",2025-2026
Miladinovic2025,Large Perturbation Model (LPM),Perturbation-response prediction,"Djordje Miladinovic, Tobias Höppe et al.",2025,Nature Computational Science,10.1038/s43588-025-00870-1,41094040.0,5.0,partial,no,no,no,yes,partial,no,heterogeneous perturbation experiments (transcriptomic readouts across chemical/genetic perturbations + context),embedding + predicted post-perturbation transcriptome,"learned deep embedding over inferred/correlational representations, forward-only with no minimal recipe or infeasibility proof","LPM forward-predicts post-perturbation transcriptomes and learns disentangled embeddings via deep learning, whereas our oracle uses measured knockdown effects as a convex cone to issue a falsifiable reachable/infeasible verdict with a minimal recipe or Farkas certificate naming genes to activate.",2025-2026
Wong2025,Baseline mean/linear control for perturbation prediction,Perturbation-response prediction,"Daniel R. Wong, Abby S. Hill et al.",2025,Bioinformatics,10.1093/bioinformatics/btaf317,40407144.0,12.0,yes,no,no,no,yes,partial,no,Perturb-seq scRNA-seq (single/combo genetic perturbations) + gene embeddings for foundation-model fine-tuning,prediction,"correlational forward regression baseline with no convex structure, no minimal-recipe search, and no certificate of infeasibility when a target state is unreachable","This baseline only forecasts expression shifts for perturbations the user already specifies, whereas our convex-cone oracle inverts the problem to certify reachability, return minimal knockdown recipes, or issue a Farkas infeasibility certificate naming genes to activate.",2025-2026
Xing2025,GPerturb,Perturbation-response prediction,"Hanwen Xing, Christopher Yau",2025,Nature Communications,10.1038/s41467-025-61165-7,40593897.0,5.0,partial,no,no,no,yes,partial,no,Perturb-seq (single-cell CRISPR screen) discrete/continuous expression data,prediction (sparse gene-level perturbation effect estimates with uncertainty),"correlational regression fit to noisy scRNA-seq counts, no minimal recipe or infeasibility proof, forward-only and additive (not a convex cone over measured effects)","GPerturb statistically estimates sparse per-gene perturbation effects with credible intervals from noisy single-cell counts, whereas our oracle uses measured effect vectors as a convex cone to issue a falsifiable reachable/infeasible verdict with a minimal knockdown recipe or a Farkas certificate naming genes to activate.",2025-2026
Yu2025,PerturbNet,Perturbation-response prediction,"Hengshi Yu, Weizhou Qian et al.",2025,Molecular Systems Biology,10.1038/s44320-025-00131-3,40640612.0,18.0,partial,no,no,no,yes,no,no,unperturbed scRNA-seq + chemical structure/dose/cell-type or gene functional/sequence embeddings,prediction (generative distribution of post-perturbation single-cell states),"forward generative prediction from a learned latent space, not measured non-negative combinations, so no convex-cone structure, no minimal-recipe or infeasibility proof","PerturbNet forward-predicts a distribution of cell states for a given perturbation via a deep generative embedding, whereas our oracle inverts measured knockdown effects to certify whether a target shift is reachable, returning a minimal recipe or a Farkas infeasibility certificate naming genes to activate instead.",2025-2026
Bai2026b,PertAdapt,Perturbation-response prediction,"Ding Bai, Le Song et al.",2026,"Bioinformatics (Oxford, England)",10.1093/bioinformatics/btag307,42412811.0,0.0,no,no,no,no,yes,partial,no,unperturbed scRNA-seq + perturbation condition (gene ID/embedding) via pretrained FM representations,prediction,"correlational forward predictor built on FM embeddings/attention, no convex structure, no minimal recipe, no infeasibility proof","PertAdapt forward-predicts expression given a perturbation using learned FM attention weights, whereas our oracle inverts the problem, returning a provably minimal knockdown recipe when a target shift is reachable or a Farkas infeasibility certificate naming genes to activate when it is not.",2025-2026
Fu2026,PRIM (Prior-guided Response Inference Model),Perturbation-response prediction,"Xiuhao Fu, Chao Yang et al.",2026,Genome Research,10.1101/gr.281523.125,41887798.0,0.0,partial,no,no,no,yes,yes,no,unperturbed scRNA-seq control-cell expression + perturbation identity priors,prediction (post-perturbation expression change),"forward-only deep learning regressor with no reachability/infeasibility guarantee, no minimal recipe, and no held-out-GENE (unseen gene identity) transfer test — correlational, not certificate-bearing","PRIM forward-predicts expression shifts for given perturbations via a learned deep model with no guarantee, whereas our oracle inverts measured non-negative knockdown effects into a convex cone and returns a provable verdict — reachable with minimal recipe, or infeasible with a Farkas/KKT certificate naming genes to activate instead.",2025-2026
Sengstack2026,TF Perturb-seq rejuvenation screen,Perturbation-response prediction,"Janine Sengstack, Jiashun Zheng et al.",2026,Proceedings of the National Academy of Sciences,10.1073/pnas.2515183123,41512022.0,9.0,yes,no,no,no,yes,no,no,Perturb-seq (CRISPRa/CRISPRi single-TF perturbations) in aged fibroblast model + validation in aged mouse liver,"ranking/prediction of single-TF hits (E2F3, EZH2, STAT3, ZFX) scored on rejuvenation phenotypes","single-perturbation forward screen with no formal reachability model; cannot certify whether a given target state is achievable, cannot output a minimal multi-gene recipe, and gives no infeasibility proof or required-activation set when a state is unreachable","This work empirically screens single TF perturbations and forward-scores their effects on aging phenotypes, whereas our oracle poses reachability as a convex-cone feasibility problem over measured knockdown effects, returning either a minimal multi-gene recipe or a Farkas certificate proving the target is infeasible and naming genes needing activation instead.",2025-2026
Wenkel2026,TxPert,Perturbation-response prediction,"Frederik Wenkel, Wilson Tu et al.",2026,Nature Biotechnology,10.1038/s41587-026-03113-4,42067667.0,1.0,partial,no,no,no,yes,partial,no,perturbation identity + multiple biological knowledge graphs,predicted transcriptomic perturbation effects using KG priors (forward prediction),KG-guided predictor; relies on inferred/curated graph priors and emits no feasibility certificate,TxPert predicts effects using knowledge-graph priors; we use measured effect vectors (not priors) and return a geometric feasibility verdict.,2025-2026
Atti2025,"Foundation Model Benchmarking Study (scGPT/scGPT-like, Geneformer, Seurat v5)",Foundation model,"Srijan Atti, Shankar Subramaniam",2025,bioRxiv (Cold Spring Harbor Laboratory),10.1101/2025.06.26.661767,,5.0,no,no,no,no,partial,no,no,"unperturbed scRNA-seq (Myeloid, hPancreas) + Gaussian-noise-perturbed expression values",cell-type classification prediction,"correlational classifier trained on unperturbed transcriptomic embeddings/tokenization artifacts (binning, rank encoding); no causal or perturbation-effect model, no notion of reachable state space or minimal intervention","This study only measures whether foundation-model embeddings can classify cell types under noise, whereas our oracle uses measured knockdown effect vectors to give a falsifiable reachability verdict—returning a minimal perturbation recipe or a Farkas infeasibility certificate naming genes to activate—something this classification benchmark neither attempts nor can produce.",2025-2026
Fu2025,GET (general expression transformer),Foundation model,"Xi Fu, Shentong Mo et al.",2025,Nature,10.1038/s41586-024-08391-z,39779852.0,98.0,no,no,no,no,yes,partial,no,chromatin accessibility + motifs across human cell types,predicted transcription / regulatory activity; cell-type-general expression model (forward prediction / embedding),predicts expression from regulatory state; cannot certify reachability of a target state or emit an infeasibility proof,GET forward-predicts expression from regulatory inputs; our oracle answers the inverse feasibility question over measured perturbation effect vectors.,2025-2026
Kalfon2025,scPRINT,Foundation model,"Jérémie Kalfon, Jules Samaran et al.",2025,Nature Communications,10.1038/s41467-025-58699-1,40240364.0,36.0,no,no,no,no,yes,no,no,single-cell transcriptomes (~50M cells) for gene-network inference,cell embeddings + inferred gene networks (embedding + GRN),infers networks/embeddings; does not compose measured effects into a feasibility verdict,scPRINT infers networks from expression; we bypass inferred GRNs and reason directly over measured knockdown effect vectors to certify reachability.,2025-2026
Pearce2025,TranscriptFormer,Foundation model,"James D Pearce, Sara E. Simmonds et al.",2025,bioRxiv (Cold Spring Harbor Laboratory) [preprint],10.1101/2025.04.25.650731,,27.0,partial,no,no,no,yes,no,no,cross-species single-cell transcriptomes (generative cell atlas across ~1.5B years of evolution),generative cell-state model / embeddings across species (forward generation / embedding),cross-species generative atlas; no perturbation-reachability formalism or certificate,TranscriptFormer generatively models cell states across species; we certify reachability of a target shift from measured perturbations in one system.,2025-2026
Qiu2025,GRNFormer,Foundation model,"Mufan Qiu, Xi-Jiang Hu et al.",2025,arXiv (Cornell University),10.48550/arxiv.2503.01682,,0.0,no,no,no,no,yes,no,partial,unperturbed scRNA-seq + multi-omics-inferred GRN priors,embedding,"relies on inferred GRN structure from correlational multi-omics data, not measured perturbation effects, and offers no feasibility proof or minimal intervention recipe","GRNFormer learns an embedding from inferred regulatory graphs to improve forward prediction accuracy, whereas our oracle uses measured CRISPRi effect vectors to issue a provable reachable/infeasible verdict with a minimal knockdown recipe or Farkas certificate naming genes to activate.",2025-2026
Rizvi2025,"C2S-Scale (Cell2Sentence, scaling LLMs)",Foundation model,"Syed Asad Rizvi, Daniel Lévine et al.",2025,bioRxiv (Cold Spring Harbor Laboratory) [preprint],10.1101/2025.04.14.648850,41279114.0,32.0,partial,no,no,no,yes,partial,no,single-cell expression rendered as gene 'sentences' for large language models,LLM-based single-cell analysis incl. perturbation-response generation (forward prediction / text),LLM sequence modelling of cells; cannot prove a target state is outside the achievable set,"C2S-Scale generates perturbation responses via an LLM; our oracle gives a geometric, falsifiable feasibility certificate instead of a generated guess.",2025-2026
TejadaLapuerta2025,Nicheformer,Foundation model,"Alejandro Tejada-Lapuerta, Anna C. Schaar et al.",2025,Nature Methods,10.1038/s41592-025-02814-z,41168487.0,51.0,no,no,no,no,yes,no,no,dissociated + spatial single-cell omics (large pretraining),cell/niche embeddings for spatial and single-cell tasks (embedding),"foundation embedding model; no measured-effect geometry, no feasibility certificate",Nicheformer represents cells and niches; our oracle turns measured perturbation effects into a reachable/infeasible decision with a recipe.,2025-2026
Wang2025scGPTspatial,scGPT-spatial,Foundation model,"Chloe Xueqi Wang, Haotian Cui et al.",2025,bioRxiv (Cold Spring Harbor Laboratory) [preprint],10.1101/2025.02.05.636714,,37.0,partial,no,no,no,yes,no,no,single-cell + spatial transcriptomics (continual pretraining of scGPT),spatially-aware cell embeddings / imputation (embedding; forward tasks),spatial foundation model; no perturbation-cone geometry or feasibility verdict,scGPT-spatial embeds spatial cell states; we compute whether a desired state shift is reachable by combining measured knockdowns.,2025-2026
Zeng2025,CellFM,Foundation model,"Yuansong Zeng, Jiancong Xie et al.",2025,Nature Communications,10.1038/s41467-025-59926-5,40393991.0,59.0,partial,no,no,no,yes,no,no,"single-cell transcriptomes (~100M cells, large pretraining corpus)",cell embeddings / representations for downstream tasks (embedding; forward tasks),"an embedding/foundation model; no geometry over perturbation effects, no feasibility verdict",CellFM embeds cells for prediction; our method operates on measured knockdown effect vectors to return a reachable/infeasible verdict.,2025-2026
Bai2026a,scLong,Foundation model,"Ding Bai, Shentong Mo et al.",2026,Nature Communications,10.1038/s41467-026-69102-y,41639087.0,5.0,no,no,no,no,yes,partial,no,unperturbed scRNA-seq (48M cells) + GO gene-graph priors,embedding / forward prediction of perturbation response,"learned correlational embedding over inferred/attention-based gene context, not measured causal effect vectors; no convex-cone structure, no minimal-recipe or infeasibility certificate for reaching a target state","scLong forward-predicts expression responses via a large attention/GNN model trained on correlational scRNA-seq data, whereas our oracle uses measured CRISPRi effect vectors as convex-cone generators to return a falsifiable reachable/infeasible verdict with a minimal knockdown recipe or a Farkas certificate naming genes needing activation.",2025-2026
Demir2026,CellxPert,Foundation model,"Andaç Demir, Erik W. Anderson et al.",2026,arXiv (Cornell University),10.48550/arxiv.2605.00930,,0.0,partial,no,no,no,yes,partial,no,"multi-omics single-cell + spatial data (scRNA-seq, ATAC-seq, CITE-seq, MERFISH, IMC)",prediction/trajectory (embedding + predicted transcriptomic response to given perturbations),"learned foundation-model prior over tokenized expression states, not measured perturbation effects; no convexity structure, so cannot certify whether a target state is reachable or return a minimal/necessary gene set","CellxPert stochastically samples plausible forward transcriptomic trajectories from a learned masked-language-model prior, whereas our oracle uses measured CRISPRi effect vectors to build a convex cone and returns a provable verdict—reachable with minimal knockdown recipe, or infeasible with a Farkas certificate naming genes to activate instead.",2025-2026
Alatkar2025,ARTEMIS,Virtual-cell / large perturbation model,"Sayali Alatkar, Daifeng Wang",2025,Bioinformatics,10.1093/bioinformatics/btaf218,40662824.0,3.0,no,no,no,no,yes,no,no,"time-series scRNA-seq (unperturbed, snapshot timepoints)",trajectory + embedding + drift-gene ranking,"relies on a learned SDE/VAE dynamics model fit to unperturbed time-series, not measured perturbation effects, so it can only simulate forward outcomes with no reachability proof or minimal recipe","ARTEMIS forward-simulates continuous expression/population dynamics from a learned generative model of unperturbed time-series, whereas our oracle uses measured CRISPRi effect vectors in a convex cone to return a falsifiable reachable/infeasible verdict with a minimal knockdown recipe or Farkas certificate naming genes to activate.",2025-2026
Qian2025,Grow AI virtual cells (position/roadmap),Virtual-cell / large perturbation model,"Liujia Qian, Zhen Dong et al.",2025,Cell Research,10.1038/s41422-025-01101-y,40128605.0,40.0,partial,no,no,no,no,no,no,perspective — multi-omics data pillars + closed-loop experimental design,roadmap/position paper for building AI virtual cells (no method output),conceptual roadmap; provides no falsifiable feasibility test,This roadmap calls for predictive virtual cells; our oracle is a concrete falsifiable step — a convex-geometry reachability verdict from measured perturbations.,2025-2026
Roohani2025,Virtual Cell Challenge,Virtual-cell / large perturbation model,"Yusuf Roohani, Tony J. Hua et al.",2025,Cell,10.1016/j.cell.2025.06.008,40578317.0,59.0,partial,no,no,no,yes,no,no,"community benchmark: perturbation + context inputs, held-out perturbation-response evaluation",challenge/benchmark defining a Turing-test-style evaluation for virtual-cell perturbation prediction,scores predictive accuracy only; no notion of a reachable set or an infeasibility certificate,"The Challenge measures how well models predict perturbation effects; we instead certify whether a target shift is reachable at all, and if not, which genes must be activated.",2025-2026
Chen2026,"SCALE (set-aware flow, conditional transport)",Virtual-cell / large perturbation model,"Shuizhou Chen, Lang Yu et al.",2026,arXiv (Cornell University),10.48550/arxiv.2603.17380,,0.0,partial,no,no,no,yes,no,no,"unperturbed scRNA-seq + perturbation identity (genetic/chemical/cytokine), trained on Tahoe-100M",prediction (predicted perturbed expression distribution/endpoint),"forward generative/transport model over learned latent space—correlational, no reachability proof, no minimal perturbation recipe, no infeasibility certificate","SCALE learns a flow-based transport map to forward-predict cell states from given perturbations, whereas our oracle uses measured knockdown effects as convex-cone generators to issue a falsifiable reachable/infeasible verdict with a minimal recipe or Farkas certificate naming genes to activate instead.",2025-2026
Mao2026,VCBench (VC benchmarking framework),Virtual-cell / large perturbation model,"Xinjie Mao, Songming Zhang et al.",2026,arXiv (Cornell University),10.48550/arxiv.2604.27646,,1.0,partial,no,no,no,yes,no,no,perturbation datasets (Perturb-seq/scRNA-seq) + candidate VC models,ranking,"purely an evaluation harness for forward-predictive models trained on inferred/correlational associations; no reachability semantics, no minimal recipe, no infeasibility proof","VCBench scores how well forward-predictive VC models forecast known perturbation outcomes, whereas our oracle answers reachability directly from measured effects, returning either a minimal knockdown recipe or a Farkas infeasibility certificate naming genes to activate—a falsifiable verdict no benchmarked model produces.",2025-2026
Vollenweider2026,"SBB Principles (Signal, Bounds, Baselines)",Virtual-cell / large perturbation model,"Michael Vollenweider, Peter Bühlmann",2026,bioRxiv (Cold Spring Harbor Laboratory),10.64898/2026.04.20.719650,,1.0,partial,no,no,no,yes,partial,no,predicted vs ground-truth transcriptomic perturbation datasets (single and double perturbations),calibrated evaluation metrics / diagnostic scores / baseline benchmarks,"it is an evaluation/benchmarking framework for scoring other forward-prediction models' outputs, not a predictive or reachability system itself; produces no recipes, no feasibility verdicts, no certificates - only calibrated performance metrics","SBB is a metrics-and-baselines framework for judging how well forward-prediction models score, whereas our oracle is itself a decision system that returns a falsifiable reachable/infeasible verdict with a minimal knockdown recipe or a Farkas infeasibility certificate derived from measured convex-cone effects.",2025-2026
Wang2026,AROMA,Virtual-cell / large perturbation model,"Zhenyu Wang, Geyan Ye et al.",2026,arXiv (Cornell University),10.48550/arxiv.2604.20263,,0.0,no,no,no,no,yes,partial,no,"textual evidence + graph-topology (knowledge graphs) + protein sequence features, multimodal",prediction,"relies on inferred multimodal knowledge (text/KG/sequence) rather than measured perturbation effects; no convex-cone structure, no minimal recipe, no infeasibility proof - purely correlational/retrieval-based reasoning","AROMA produces LLM-style reasoning-augmented forward predictions of perturbation response from heterogeneous knowledge sources, whereas our oracle uses measured CRISPRi effect vectors in a convex cone to return a falsifiable reachable/infeasible verdict with a minimal knockdown recipe or a Farkas certificate naming genes needing activation.",2025-2026
Zhang2026,Lingshu-Cell (masked discrete diffusion world model),Virtual-cell / large perturbation model,"Han Zhang, Guo-Hua Yuan et al.",2026,arXiv (Cornell University),10.48550/arxiv.2603.25240,,0.0,partial,no,no,no,yes,partial,no,"unperturbed + perturbed scRNA-seq (Perturb-seq, cytokine panels) with cell type/donor identity, ~18k-gene discrete tokens",generative prediction / distribution simulation,"correlational generative model over learned latent token distribution, not measured non-negative-effect cone; cannot certify infeasibility or return minimal knockdown recipes","Lingshu-Cell forward-simulates plausible transcriptomes for given perturbations via a learned diffusion prior, whereas our oracle answers reachability directly from measured CRISPRi effect vectors, returning either a minimal knockdown recipe or a Farkas/KKT certificate proving a target state is unreachable and naming genes to activate instead.",2025-2026
Gonzalez2025,Causally-inspired combinatorial perturbation prediction,Combinatorial data / OT / design,"Guadalupe Gonzalez, Xiang Lin et al.",2025,Nature Biomedical Engineering,10.1038/s41551-025-01481-x,40925962.0,18.0,partial,no,no,no,yes,yes,no,single/paired perturbation data + causal structure priors,predicted effects of combinatorial therapeutic perturbations + candidate ranking (forward prediction/ranking),ranks candidate combinations by predicted effect but cannot prove a target state is outside the achievable set,Gonzalez et al. rank predicted combinations; our oracle proves reachability and returns the minimal knockdown set or a Farkas certificate of infeasibility.,2025-2026
Klein2025b,moscot (multi-omics single-cell optimal transport),Combinatorial data / OT / design,"Dominik Klein, Giovanni Palla et al.",2025,Nature,10.1038/s41586-024-08453-2,39843746.0,127.0,partial,no,no,no,yes,no,no,"multimodal single-cell/spatial/temporal genomics data (scRNA-seq, ATAC, spatial transcriptomics, time series)",trajectory / alignment / mapping / embedding,"unsupervised correlational coupling of observed states, not a causal perturbation model—no perturbation vectors, no combination logic, no notion of a reachable set or infeasibility, and no minimal intervention recipe","moscot aligns and interpolates observed cell distributions across time/space via optimal transport couplings, whereas our oracle uses measured CRISPRi effect vectors as generators of a convex cone to give a falsifiable reachable/infeasible verdict with a minimal knockdown recipe or Farkas certificate naming genes to activate instead.",2025-2026
Driessen2026,CAR-OT (conditional optimal transport for CAR response),Combinatorial data / OT / design,"Alice Driessen, Jannis Born et al.",2026,Cell Systems,10.1016/j.cels.2026.101591,42025164.0,1.0,partial,no,no,no,yes,partial,no,scRNA-seq of CAR-T cells expressing diverse CAR variants + protein language model embeddings of CAR sequence/design,prediction,"correlational forward generative model over inferred transport maps between distributions; no reachability proof, no minimal perturbation recipe, no infeasibility certificate","CAR-OT forward-predicts transcriptomic shifts for a given CAR design via learned optimal transport, whereas our oracle inverts measured knockdown effects to prove reachability or issue a Farkas infeasibility certificate naming genes to activate, with a minimal recipe when feasible.",2025-2026
AhlmannEltze2025,Linear-baseline benchmark of perturbation models,Benchmark / other,"Constantin Ahlmann-Eltze, Wolfgang Huber et al.",2025,Nature Methods,10.1038/s41592-025-02772-6,40759747.0,96.0,yes,no,no,no,yes,partial,no,genetic Perturb-seq datasets; compares deep models vs simple linear/additive baselines,"critical benchmark finding (evaluation, not a predictor)","a benchmark, not a method; but its headline supports honest positioning of any predictive model",Ahlmann-Eltze et al. show deep predictors barely beat linear baselines — motivating our shift from accuracy-chasing prediction to a falsifiable geometric feasibility verdict.,2025-2026
Csendes2025,Benchmark of foundation models for post-perturbation RNA-seq,Benchmark / other,"Gerold Csendes, Gema Sanz et al.",2025,BMC Genomics,10.1186/s12864-025-11600-2,40269681.0,34.0,no,no,no,no,yes,no,no,foundation-model predictions of post-perturbation bulk/pseudobulk RNA-seq,benchmark finding (evaluation),"benchmark, not a method; supports honest positioning","Csendes et al. find foundation models weak at post-perturbation prediction — motivating a method that returns certificates, not just predictions.",2025-2026
Kedzierska2025,Zero-shot evaluation of single-cell foundation models,Benchmark / other,"Kasia Z. Kedzierska, Lorin Crawford et al.",2025,Genome biology,10.1186/s13059-025-03574-x,40251685.0,65.0,no,no,no,no,yes,no,no,"single-cell foundation-model embeddings (scGPT, Geneformer, etc.)",critical benchmark of zero-shot embedding quality (evaluation),"benchmark, not a method; documents foundation-model limitations relevant to honest positioning",Kedzierska et al. show foundation-model embeddings underperform simple baselines zero-shot — reinforcing our choice of measured effects and explicit geometry over learned embeddings.,2025-2026
Kernfeld2025,Comparison of expression-forecasting (perturbation) methods,Benchmark / other,"Eric Kernfeld, Yunxiao Yang et al.",2025,Genome biology,10.1186/s13059-025-03840-y,41250104.0,6.0,partial,no,no,no,yes,partial,no,perturbation datasets; comparison of expression-forecasting/in-silico perturbation methods,benchmark/comparison finding (evaluation),"benchmark, not a method; documents modest predictive gains",Kernfeld et al. document weak forecasting gains; our oracle offers a categorically different output — a geometric feasibility certificate.,2025-2026
Luecken2025,Open Problems in single-cell analysis (benchmark platform),Benchmark / other,"Malte D. Luecken, Scott Gigante et al.",2025,Nature Biotechnology,10.1038/s41587-025-02694-w,40595413.0,31.0,partial,no,no,no,yes,partial,no,community benchmarking platform incl. perturbation-prediction tasks,standardized open benchmarks + leaderboards (evaluation infrastructure),"benchmark platform, not a method; no reachability formalism",Open Problems standardizes forward-prediction benchmarks; our contribution is a new output type (a feasibility certificate) that such accuracy benchmarks do not score.,2025-2026
Vinas2025,Systema,Benchmark / other,"Ramón Viñas, Maciej Wiatrak et al.",2025,Nature Biotechnology,10.1038/s41587-025-02777-8,40854979.0,31.0,partial,no,no,no,yes,no,no,genetic-perturbation datasets; standardized evaluation of perturbation-response predictors,benchmark framework + finding (evaluation),"benchmark, not a method; supports our positioning that forward accuracy alone is weak",Systema exposes weak generalisation of perturbation predictors; we sidestep the accuracy race by returning a falsifiable reachability certificate.,2025-2026
Wei2025,Benchmark of generalizable single-cell perturbation prediction,Benchmark / other,"Zhiting Wei, Yiheng Wang et al.",2025,Nature Methods,10.1038/s41592-025-02980-0,41381899.0,15.0,partial,no,no,no,yes,partial,no,single-cell perturbation datasets across contexts,benchmark of algorithms for generalizable perturbation response (evaluation),"benchmark, not a method; documents generalisation gaps",This benchmark measures predictive generalisation; our oracle instead delivers a provable reachable/outside verdict from measured effects.,2025-2026
